time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-22T19:29:16.130Z,32.2506667,-115.369,8.44,2.87,ml,24,221,0.1768,0.23,ci,ci40379464,2022-11-22T21:35:55.355Z,"19km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.93,1.5,0.155,59,reviewed,ci,ci
2022-11-22T19:08:14.772Z,31.72202186,-104.538867,6.234399414,2.7,ml,40,83,0.03735853271,0.3,tx,tx2022wxgj,2022-11-23T16:51:48.774Z,"52 km SSW of Whites City, New Mexico",earthquake,1.066101125,0.8049782144,0.2,27,reviewed,tx,tx
2022-11-22T16:39:05.701Z,30.7839,-116.3892,10,6.2,mww,160,61,0.798,0.7,us,us7000irjd,2022-11-28T22:06:05.344Z,"Baja California, Mexico",earthquake,4.56,1.748,0.029,118,reviewed,us,us
2022-11-22T14:59:56.163Z,31.5651355,-104.0973856,6.131567383,2.6,ml,26,63,0.02754761872,0.2,tx,tx2022wwye,2022-11-28T20:40:29.040Z,"40 km NW of Toyah, Texas",earthquake,0.6885982928999999,0.5243154318999999,0.1,14,reviewed,tx,tx
2022-11-22T12:04:53.910Z,41.5098333,-112.1785,7.2,2.81,ml,41,66,0.0968,0.18,uu,uu60526012,2022-11-28T13:47:16.040Z,"7 km SW of Corinne, Utah",earthquake,0.27,0.54,0.151,20,reviewed,uu,uu
2022-11-22T05:07:49.415Z,31.67840454,-104.5330249,6.131567383,2.8,ml,57,80,0.02919804107,0.2,tx,tx2022wweq,2022-11-28T07:38:21.040Z,"57 km SSW of Whites City, New Mexico",earthquake,0.8673729726,0.5458611471,0.1,30,reviewed,tx,tx
2022-11-21T02:52:42.018Z,37.9964,-118.2278,5.4,2.9,ml,25,52.77,0.273,0.1561,nn,nn00851705,2022-11-24T01:26:48.040Z,"29 km NE of Benton, California",earthquake,,5.4,0.3,10,reviewed,nn,nn
2022-11-21T00:52:14.363Z,38.3662,-115.8242,10.4,3,ml,29,60.54,0.725,0.2573,nn,nn00851695,2022-11-21T23:56:04.888Z,"80 km N of Rachel, Nevada",earthquake,,1.8,0.29,15,reviewed,nn,nn
2022-11-21T00:05:43.378Z,31.72073247,-104.5270042,5.977319336,3.2,ml,47,82,0.002540980578,0.2,tx,tx2022wtze,2022-11-25T10:00:48.878Z,"52 km SSW of Whites City, New Mexico",earthquake,1.34593216,0.7286162548,0.2,36,reviewed,tx,tx
2022-11-20T14:35:35.923Z,31.67402863,-104.2907317,7.828295898,2.5,ml,31,48,0.02215529894,0.2,tx,tx2022wtgj,2022-11-23T14:07:05.040Z,"56 km S of Whites City, New Mexico",earthquake,0.7300700182999998,0.75345197,0.2,17,reviewed,tx,tx
